Name,Acronym,Type,Scope,Provider,Provider Type,Source,Resolution (m),Resolution Category,Reference System,Accuracy (%),Accuracy Category,Classes,Algorithm,Methodology,Classification Method,Method Category,Temporal Frequency,Update Frequency,Classes Legend,Start Year,End Year,Temporal Span,Total Years,Available Years,Temporal Gaps,Resolution Score,Overall Score
Copernicus Global Land Cover Service Dynamic Land Cover,CGLS,Global,Global,Copernicus European Union's Space Program,Space Agency,PROBA-V,100.0,Medium,EPSG:4326,83.3,Good,10,Hybrid,Machine Learning,Supervised Random Forest,Machine Learning,Annual,Annual,"Forest, Shrubland, Herbaceous Vegetation, Herbaceous Wetland, Moss And Lichen, Bare/Sparse Vegetation, Cropland, Urban/Built-Up, Snow And Ice, Permanent Water Bodies",2015,2019,5,5,"2015,2016,2017,2018,2019",,90.9090909090909,87.10454545454544
Google Dynamic World V1,GDW,Global,Global,Google and World Resources Institute,Tech Company,Sentinel-2 MSI,10.0,Very High,EPSG:4326,73.8,Fair,9,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Annual,Near real time,"Water, Trees, Grass, Flooded Vegetation, Crops, Shrub and Scrub, Built, Bare, Snow and Ice",2017,2024,8,8,"2017,2018,2019,2020,2021,2022,2023,2024",,500.0,286.9
ESRI-10m Annual LULC,ESRI-10m LULC,Global,Global,"Environmental Systems Research Institute (ESRI), Impact Observatory, and Microsoft Maps for Good Initiative",Tech Company,Sentinel-2 MSI,10.0,Very High,"[{'epsg_code': 'EPSG:32600', 'hemisphere': 'North', 'description': 'UTM zones for Northern Hemisphere', 'coverage': 'Areas north of the equator', 'usage_context': 'Northern hemisphere regions'}, {'epsg_code': 'EPSG:32700', 'hemisphere': 'South', 'description': 'UTM zones for Southern Hemisphere', 'coverage': 'Areas south of the equator', 'usage_context': 'Southern hemisphere regions'}]",85.0,Good,15,Deep Learning,Deep Learning,Convolutional Neural Network,Deep Learning,Annual,Annual or Sub-annual,,2017,2024,8,8,"2017,2018,2019,2020,2021,2022,2023,2024",,500.0,292.5
Global LULC change 2000 and 2020,UMD-GLC,Global,Global,University of Maryland (UMD) Global Land Analysis and Discovery (GLAD) laboratory,University,Landsat series,30.0,High,EPSG:4326,85.0,Good,7,Machine Learning,Machine Learning,Supervised Machine Learning,Machine Learning,Quadriennial,Quadriennial,"Terra Firma Vegetation Cover, Wetland, Open Surface Water, Snow/Ice, Cropland, Built-Up And Ocean",2000,2020,21,5,"2000,2005,2010,2015,2020","2001,2002,2003,2004,2006,2007,2008,2009,2011,2012,2013,2014,2016,2017,2018,2019",250.0,167.5
Global Pasture Watch (GPW),GPW,Global,Global,Land & Carbon Lab,Other,Landsat series,30.0,High,EPSG:4326,91.0,Excellent,3,Machine Learning,Machine Learning,Supervised Machine Learning,Machine Learning,Biennial,Biennial,"Cultivated Grassland (CG), Natural/Semi-Natural Grassland (NSG), Other Land Cover (OLC)",2000,2022,23,12,"2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022","2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021",250.0,170.5
South America Soybean Maps,UMD-SASM,Continental,Continental,University of Maryland (UMD) Global Land Analysis and Discovery (GLAD) laboratory,University,Landsat and MODIS series,30.0,High,EPSG:4326,94.0,Excellent,2,Hybrid,Hybrid,Combined,Combined,Annual,Annual,"Soybean, No Data",2000,2023,24,24,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",,250.0,172.0
WorldCover 10m 2021,ESA-WC,Global,Global,European Space Agency (ESA),Space Agency,Sentinel-1 and Sentinel-2 MSI,10.0,Very High,EPSG:4326,76.7,Fair,11,Machine Learning,Machine Learning,Gradient Boosting Decision Tree Algorithm,Machine Learning,Annual,Annual,"Tree Cover, Shrubland, Grassland, Cropland, Built-Up, Bare/Sparse Vegetation, Snow and Ice, Permanent Water Bodies, Herbaceous Wetland, Mangroves, Moss, Lichen",2020,2021,2,2,"2020,2021",,500.0,288.35
WorldCereal,WorldCereal,Global,Global,European Space Agency (ESA),Space Agency,"Sentinel-1, Sentinel-2, and Landsat-8",10.0,Very High,EPSG:4326,97.8,Excellent,5,Machine Learning,Machine Learning,Gradient Boosting on decision trees,Machine Learning,Annual and Seasonal,Annual,"Temporary (One-Year Cycle) Crops, Winter Cereals, Spring Cereals, Maize Season Maize And Second Season Maize",2021,2021,1,1,2021,,500.0,298.9
"PRODES Deforestation, Warnings and Vegetation for Brazilian Biomes",PRODES,National,National,National Institute for Space Research (INPE),Space Agency,"IRS, Sentinel-2 MSI, Landsat series, CBERS-4/4A",30.0,High,EPSG:4674,93.0,Excellent,5,Visual Interpretation,Visual Interpretation,Visual Interpretation,Visual Interpretation,Annual,Annual,"Deforestation In The Year, Residual In The Year, Hydrography, Non-Forest (Only For Legal Amazon), Natural Vegetation/Forest",2001,2023,23,23,"2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",,250.0,171.5
"DETER Deforestation, Warnings and Vegetation for Brazilian Biomes",DETER,National,National,National Institute for Space Research (INPE),Space Agency,"MODIS Terra/Aqua, CBERS series, Amazônia-1",56.0,Medium,EPSG:4674,93.0,Excellent,3,Hybrid,Hybrid,Visual Interpretation and Spectral Mixture Model,Visual Interpretation,Annual,Annual,"Deforestation (With Bare Soil, Vegetation and Mining), Degradation (Degradation, Wildfire Scar), Logging (Selective Cut Type 1 - Disordered And Selective Cut Type 2 - Geometric)",2001,2023,23,23,"2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",,151.51515151515153,122.25757575757576
TerraClass Amazonia,TerraClass Amazon,Regional,Regional,National Institute for Space Research (INPE) and Brazilian Agricultural Research Corporation (Embrapa),Space Agency,,10.0,Very High,EPSG:4674,93.9,Excellent,18,Hybrid,Deep Learning,"Visual Interpretation, Supervised Bhattacharya Classification, and Deep Learning",Deep Learning,Annual,Biennial,"Primary Natural Forest Vegetation, Secondary Natural Forest Vegetation, Forestry, Shrub/Arboreal Pasture, Herbaceous Pasture, Perennial Agricultural Crops, Semi-Perennial Agricultural Crops, Temporary Agricultural Crops Of 1 Cycle, Temporary Agricultural Crops Of More Than 1 Cycle, Temporary Agricultural Crops, Mining, Urbanized, Other Uses, Not Observed, Deforestation In The Year, Non-Forest, Natural Non-Forest, Body Of Water",2008,2022,15,8,"2008,2010,2012,2014,2016,2018,2020,2022","2009,2011,2013,2015,2017,2019,2021",500.0,296.95
TerraClass Cerrado,TerraClass Cerrado,Regional,Regional,National Institute for Space Research (INPE) and Brazilian Agricultural Research Corporation (Embrapa),Space Agency,,10.0,Very High,EPSG:4674,90.9,Excellent,15,Hybrid,Deep Learning,"Visual Interpretation, Supervised Bhattacharya Classification, and Deep Learning",Deep Learning,Annual,Biennial,"Primary Natural Forest Vegetation, Secondary Natural Forest Vegetation, Forestry, Pasture, Perennial Agricultural Crops, Semi-Perennial Agricultural Crops, Temporary Agricultural Crops Of 1 Cycle, Temporary Agricultural Crops Of More Than 1 Cycle, Mining, Urbanized, Other Built Areas, Other Uses, Not Observed, Deforestation In The Year, Body Of Water",2018,2022,5,3,"2018,2020,2022","2019,2021",500.0,295.45
MapBiomas,MapBiomas,National,National,"Non-governmental Organizations (NGO's), Universities and Technology Companies",Government,Landsat series,30.0,High,EPSG:4326,93.0,Excellent,29,Hybrid,Deep Learning,Supervised Random Forest and Deep Learning,Deep Learning,Annual,Annual,"Forest, Non-Forest Natural Formation, Farming, Non-Vegetated Area, Water And Not Observed, And More",1985,2023,39,39,"1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",,250.0,171.5
IBGE Monitoring Land Cover and Land Use,IBGE-MLCU,National,National,Brazilian Institute of Geography and Statistics (IBGE),Government,Landsat-8 OLI,30.0,High,EPSG:4674,0.0,Low,12,Visual Interpretation,Visual Interpretation,Visual Interpretation,Visual Interpretation,Biennial since 2010,Biennial,"Artificial Area, Cropland, Managed Pasture, Mosaic Of Uses In Forest Area, Forestry, Forest Vegetation, Wetland, Grassland Vegetation, Mosaic Of Uses In Grassland, Inland Water Body, Coastal Water Body, Bare Area",2000,2020,21,11,"2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020","2001,2003,2005,2007,2009,2011,2013,2015,2017,2019",250.0,125.0
